Aspect,BSI,Elevation,NBR,NDMI,NDVI,NDWI,SAVI,SinAspect,Slope,PA,POINT_X,POINT_Y,PcentBgrnd,PcentOther,PointID,Class,Class_Number
169.52876,6717,2181,0.05125448,-0.067705022,0.17226219,-0.302108768,1.17226219,0.181741903,57.127975,1,-112.260504,36.307969,90,10,708,Bareground,1
209.94821,4377,2144,0.140444015,0.038224956,0.16375276,-0.359217716,1.16375277,-0.499217016,27.614244,1,-112.261835,36.307784,90,10,711,Bareground,1
203.04839,6959,2276,0.064737243,-0.108986616,0.28758922,-0.328266033,1.287589224,-0.391508345,31.621534,1,-112.263201,36.309571,90,10,707,Bareground,1
107.86462,4523,2050,0.06856591,-0.010949721,0.09880834,-0.363524338,1.098808342,0.951784034,32.342953,1,-112.29893,36.314962,90,10,712,Bareground,1
132.04166,6691,1967,-0.012345679,-0.117941864,0.16762495,-0.328970551,1.167624945,0.742658142,48.64609,1,-112.295341,36.313007,90,10,713,Bareground,1
180,6505,1056,-0.123448432,-0.252358037,0.068206824,-0.157675112,1.068206821,1.22E-16,1.8543341,1,-112.311873,36.251639,90,10,716,Bareground,1
102.839066,5157,907,-0.032042085,-0.120573539,0.09612781,-0.210164425,1.096127809,0.974998071,43.441402,1,-112.405179,36.248881,90,10,1072,Bareground,1
127.294914,5309,889,-0.042596349,-0.111111111,0.10108865,-0.220338983,1.101088647,0.795527267,42.250374,1,-112.4052,36.248703,90,10,1075,Bareground,1
127.294914,5587,889,-0.032131148,-0.115814696,0.08476237,-0.217152281,1.084762371,0.795527267,42.250374,1,-112.405157,36.248548,90,10,1076,Bareground,1
144.9749,7817,931,-0.096387729,-0.221944358,0.057573825,-0.167174678,1.057573826,0.573935244,24.44924,1,-112.406761,36.248318,90,10,1058,Bareground,1
143.76909,8795,918,-0.109017497,-0.248367868,0.08836827,-0.195755249,1.08836827,0.591040939,23.82138,1,-112.406246,36.248349,90,10,1059,Bareground,1
132.08942,8167,902,-0.099714081,-0.237013479,0.095932126,-0.217202223,1.09593213,0.742099667,34.067013,1,-112.40564,36.248517,90,10,1077,Bareground,1
127.294914,6655,889,-0.066056506,-0.172863436,0.08156682,-0.217008037,1.08156682,0.795527267,42.250374,1,-112.405415,36.248548,90,10,1078,Bareground,1
127.294914,6241,889,-0.075250836,-0.170448153,0.09072978,-0.221761944,1.090729783,0.795527267,42.250374,1,-112.40535,36.248712,90,10,1071,Bareground,1
102.839066,6065,907,-0.099428069,-0.194094488,0.08622977,-0.204471904,1.086229769,0.974998071,43.441402,1,-112.405388,36.248911,90,10,1074,Bareground,1
132.08942,8259,902,-0.093244194,-0.231549128,0.09752981,-0.212135466,1.097529813,0.742099667,34.067013,1,-112.405629,36.248708,90,10,1079,Bareground,1
140.42085,8801,924,-0.146990534,-0.296509059,0.10992331,-0.203629032,1.109923309,0.637143521,29.55646,1,-112.406026,36.248695,90,10,1052,Bareground,1
135.60966,8983,938,-0.082686912,-0.235593453,0.09841897,-0.221538462,1.098418972,0.69954281,23.287573,1,-112.406037,36.248846,90,10,1051,Bareground,1
72.92198,5705,902,-0.086352244,-0.174557431,0.09264305,-0.197014925,1.092643052,0.955905754,41.41056,1,-112.405409,36.249045,90,10,1073,Bareground,1
85.14782,7597,973,-0.103296703,-0.257322522,0.12228057,-0.212317666,1.12228057,0.996416239,20.944656,1,-112.406788,36.249387,90,10,1062,Bareground,1
101.39879,8143,948,-0.138809114,-0.288403734,0.10597492,-0.212725802,1.10597492,0.980275354,18.140196,1,-112.406504,36.249214,90,10,1061,Bareground,1
125.43475,8989,972,-0.086546417,-0.239145417,0.10245656,-0.222050033,1.102456561,0.814776276,22.724487,1,-112.40674,36.249049,90,10,1048,Bareground,1
144.47562,9029,958,-0.088007896,-0.239193084,0.09890981,-0.222491731,1.098909812,0.581049369,33.27958,1,-112.40674,36.248868,90,10,1049,Bareground,1
139.55257,8865,942,-0.109140518,-0.258481192,0.09747899,-0.214883721,1.097478992,0.648750134,18.795837,1,-112.406498,36.248868,90,10,1047,Bareground,1
101.39879,8931,948,-0.085467243,-0.237804878,0.108200684,-0.217352811,1.108200685,0.980275354,18.140196,1,-112.406278,36.249071,90,10,1060,Bareground,1
86.45021,8859,943,-0.100634322,-0.256203034,0.1034918,-0.205699839,1.103491796,0.998081371,14.651898,1,-112.406074,36.249084,90,10,1050,Bareground,1
139.55257,8843,942,-0.077663458,-0.228162755,0.106069654,-0.22395948,1.106069652,0.648750134,18.795837,1,-112.40631,36.248859,90,10,1054,Bareground,1
148.20132,8893,932,-0.157442235,-0.308133549,0.10969568,-0.205226749,1.109695683,0.526936149,24.565977,1,-112.406343,36.248669,90,10,1053,Bareground,1
148.20132,8987,932,-0.084360805,-0.228540186,0.097200625,-0.211939017,1.097200622,0.526936149,24.565977,1,-112.406498,36.2485,90,10,1057,Bareground,1
148.20132,9143,932,-0.120997641,-0.273537604,0.106491305,-0.211051776,1.106491303,0.526936149,24.565977,1,-112.406498,36.248677,90,10,1055,Bareground,1
155.33281,9209,939,-0.097192926,-0.246784892,0.085446745,-0.205372617,1.085446742,0.417346764,25.685627,1,-112.406734,36.248677,90,10,1056,Bareground,1
156.2507,8773,946,-0.10206827,-0.24330452,0.08868501,-0.207052441,1.088685015,0.402735477,28.733692,1,-112.407174,36.248673,90,10,1068,Bareground,1
148.20123,8983,968,-0.094935678,-0.235593453,0.09668508,-0.213272211,1.096685083,0.526937507,29.743544,1,-112.407169,36.248863,90,10,1067,Bareground,1
156.2507,8505,946,-0.086436625,-0.227948607,0.086108856,-0.210228558,1.086108855,0.402735477,28.733692,1,-112.407174,36.248509,90,10,1069,Bareground,1
151.66985,8215,937,-0.105011511,-0.238281839,0.09134097,-0.202474423,1.091340963,0.474551533,22.927391,1,-112.407196,36.248323,90,10,1070,Bareground,1
175.56845,8251,985,-0.146845732,-0.2617737,0.07146028,-0.193572311,1.071460275,0.077268029,14.562462,1,-112.408113,36.249049,90,10,1106,Bareground,1
90,8143,978,-0.134721957,-0.285353535,0.11968348,-0.212965443,1.119683482,1,18.841629,1,-112.407222,36.249396,90,10,1064,Bareground,1
118.26405,9287,976,-0.087730451,-0.236092627,0.09730453,-0.218424963,1.097304531,0.880774617,18.872942,1,-112.407185,36.249041,90,10,1066,Bareground,1
118.26405,9217,976,-0.116302353,-0.270221855,0.10887772,-0.21300962,1.108877722,0.880774617,18.872942,1,-112.407217,36.249222,90,10,1065,Bareground,1
125.43475,8999,972,-0.111682083,-0.268856619,0.106937036,-0.215089035,1.106937033,0.814776276,22.724487,1,-112.406943,36.24924,90,10,1063,Bareground,1
86.70321,7983,1001,-0.088550675,-0.204768372,0.0785919,-0.196911197,1.078591895,0.998345039,15.72122,1,-112.408558,36.249582,90,10,1110,Bareground,1
90,7413,995,-0.108325538,-0.217405583,0.105800465,-0.213958227,1.105800464,1,12.451259,1,-112.408333,36.24956,90,10,1108,Bareground,1
118.26397,7383,997,-0.160565563,-0.260283325,0.043834295,-0.125421968,1.043834297,0.880775311,11.591173,1,-112.408301,36.249396,90,10,1109,Bareground,1
118.26397,8077,997,-0.136273627,-0.254737496,0.07217877,-0.177712322,1.072178771,0.880775311,11.591173,1,-112.408521,36.249387,90,10,1111,Bareground,1
113.47261,9121,1011,-0.108210805,-0.256473829,0.08003201,-0.194247788,1.080032013,0.917250587,29.638796,1,-112.409014,36.249352,90,10,1085,Bareground,1
101.12775,9103,1038,-0.13598227,-0.250377695,0.05775194,-0.169237361,1.057751938,0.981199316,39.988472,1,-112.4094,36.249378,90,10,1081,Bareground,1
107.23243,8731,1024,-0.139094121,-0.239284701,0.0632811,-0.169029444,1.063281095,0.955110838,39.33933,1,-112.409159,36.249556,90,10,1092,Bareground,1
103.50756,8685,1048,-0.15635622,-0.272673993,0.06500751,-0.177698695,1.065007509,0.972339107,44.13541,1,-112.409411,36.249556,90,10,1091,Bareground,1
107.008606,9421,1061,-0.086843314,-0.224908996,0.085776724,-0.201047542,1.085776726,0.95626083,50.601334,1,-112.409642,36.249534,90,10,1090,Bareground,1
107.008606,9421,1061,-0.086843314,-0.224908996,0.085776724,-0.201047542,1.085776726,0.95626083,50.601334,1,-112.409658,36.249378,90,10,1089,Bareground,1
116.01776,9569,1049,-0.106514356,-0.246256023,0.080253825,-0.194880264,1.080253826,0.898658112,40.32405,1,-112.409631,36.249231,90,10,1087,Bareground,1
122.21272,9399,1038,-0.081007282,-0.216198732,0.079664946,-0.201269086,1.079664944,0.846074818,37.20522,1,-112.409636,36.248985,90,10,1088,Bareground,1
109.53669,9911,1038,-0.097701149,-0.248519965,0.07611833,-0.187736413,1.076118326,0.942427542,28.034224,1,-112.409406,36.249036,90,10,1082,Bareground,1
116.74979,9401,1024,-0.072975378,-0.201380015,0.076658055,-0.200999231,1.076658053,0.892980622,41.95968,1,-112.40962,36.2485,90,10,1099,Bareground,1
131.57639,9181,1007,-0.118140123,-0.244342052,0.08630431,-0.194260013,1.086304305,0.748071665,38.833225,1,-112.409449,36.248673,90,10,1094,Bareground,1
135.66768,9221,994,-0.09125657,-0.235530547,0.08499715,-0.205323194,1.084997148,0.698818904,36.75296,1,-112.409143,36.248625,90,10,1093,Bareground,1
127.091194,9735,1012,-0.077178173,-0.227897591,0.08893632,-0.206780997,1.088936322,0.797676627,38.842674,1,-112.409186,36.248846,90,10,1084,Bareground,1
103.43879,9861,1024,-0.106174353,-0.256625892,0.07837338,-0.193291062,1.078373383,0.972618761,29.127556,1,-112.409186,36.249175,90,10,1080,Bareground,1
113.47261,9479,1011,-0.102432778,-0.256627784,0.088086925,-0.199315654,1.088086923,0.917250587,29.638796,1,-112.40896,36.249023,90,10,1083,Bareground,1
146.1121,7965,989,-0.13716079,-0.260443038,0.069810025,-0.17054846,1.069810025,0.557569719,25.07991,1,-112.408327,36.249235,90,10,1107,Bareground,1
170.81264,8743,973,-0.133077192,-0.275751386,0.093151286,-0.192695819,1.093151288,0.159663458,20.664322,1,-112.408333,36.248837,90,10,1105,Bareground,1
136.03717,9347,981,-0.097416145,-0.248730964,0.088024765,-0.205573419,1.088024763,0.694191555,31.266886,1,-112.408966,36.248647,90,10,1086,Bareground,1
136.03717,9121,981,-0.086021505,-0.238392615,0.09356725,-0.206192217,1.093567251,0.694191555,31.266886,1,-112.408746,36.248504,90,10,1103,Bareground,1
137.07744,8737,973,-0.132327132,-0.277298641,0.105051406,-0.202919708,1.105051408,0.681009273,23.851318,1,-112.408558,36.248669,90,10,1104,Bareground,1
125.43504,9045,994,-0.117922246,-0.246520601,0.07553108,-0.19102592,1.075531078,0.814773342,39.950104,1,-112.40932,36.248288,90,10,1102,Bareground,1
115.33091,9077,1013,-0.095660289,-0.219178082,0.08207705,-0.209737828,1.082077052,0.903851869,45.611034,1,-112.409615,36.24831,90,10,1101,Bareground,1
103.88195,9399,1047,-0.100118133,-0.213372919,0.07459002,-0.193264147,1.074590019,0.970792111,52.043518,1,-112.409851,36.248465,90,10,1100,Bareground,1
103.88195,8801,1047,-0.150757694,-0.236409608,0.054919463,-0.164275005,1.054919464,0.970792111,52.043518,1,-112.410071,36.24866,90,10,1095,Bareground,1
103.88195,9157,1047,-0.13447205,-0.243279935,0.064349815,-0.171500631,1.064349819,0.970792111,52.043518,1,-112.409856,36.248656,90,10,1098,Bareground,1
110.073586,8927,1059,-0.143313118,-0.249020705,0.06953576,-0.174617068,1.069535764,0.939252586,53.828247,1,-112.409856,36.248842,90,10,1097,Bareground,1
110.073586,8711,1059,-0.15872515,-0.240672173,0.060883407,-0.165719283,1.060883406,0.939252586,53.828247,1,-112.410071,36.24882,90,10,1096,Bareground,1
42.468647,8795,1366,-0.07115698,-0.125095932,0.09932498,-0.314121037,1.099324976,0.675186663,22.634077,1,-112.544841,36.389058,90,10,1035,Bareground,1
275.86755,10165,1147,-0.071347998,-0.213705826,0.0927493,-0.243110608,1.092749295,-0.994760868,43.53386,1,-112.568225,36.388564,90,10,1036,Bareground,1
304.60626,9033,1130,-0.107579851,-0.23331058,0.09367089,-0.227540984,1.093670886,-0.8230743,9.7046995,1,-112.569558,36.388171,90,10,1037,Bareground,1
304.60626,8643,1130,-0.099713284,-0.209289312,0.11128588,-0.239473684,1.111285883,-0.8230743,9.7046995,1,-112.569748,36.387988,90,10,1038,Bareground,1
316.64777,9495,1137,-0.081632653,-0.209219407,0.105966166,-0.287580344,1.105966162,-0.686481544,29.09816,1,-112.56978,36.387841,90,10,1039,Bareground,1
301.1223,9639,1135,-0.131074659,-0.259472171,0.09547739,-0.252319929,1.095477387,-0.85606585,59.404766,1,-112.57025,36.387267,90,10,1042,Bareground,1
